,JKT,JKM,GRS,HARGA,LT,LB
455,6,5,2,4.5,120,250
456,2,1,0,1.1,110,90
457,4,3,0,2.5,212,238
458,3,1,1,0.875,122,110
461,4,3,4,4.2,217,200
463,3,2,0,3.5,311,264
464,5,5,1,1.55,114,200
465,2,2,1,0.985,101,160
468,3,2,0,2.0,210,200
469,4,3,1,3.95,306,400
471,1,1,0,0.625,44,88
473,6,2,0,4.5,310,250
474,3,2,0,0.55,55,105
477,3,1,0,1.55,75,150
482,4,4,2,3.85,297,297
484,2,1,0,0.65,107,99
494,2,2,1,1.45,101,160
495,3,3,1,2.35,160,280
496,5,2,2,3.7,311,265
497,5,4,2,4.0,297,500
499,4,4,1,2.5,122,220
500,2,2,1,3.95,178,300
503,5,1,0,0.85,103,80
504,8,4,15,10.0,589,400
506,4,2,0,0.6,112,112
507,3,2,0,1.5,144,160
509,4,3,0,2.35,212,235
512,5,2,2,6.0,328,339
513,3,2,2,1.75,129,110
515,3,2,1,1.6,75,200
516,3,3,2,0.075,85,120
519,3,1,0,0.85,157,109
521,4,4,1,3.95,306,450
522,3,3,0,2.85,200,150
526,4,2,0,0.6,112,100
527,4,2,0,0.725,66,120
528,4,4,2,4.1,180,300
529,2,1,1,0.45,120,80
530,2,1,0,0.5,79,80
531,2,2,0,0.85,97,80
532,5,3,1,1.9,106,240
533,4,2,1,2.15,59,200
534,3,2,1,1.62,100,140
535,3,2,1,1.7,108,175
538,3,2,0,1.2,83,140
539,2,1,1,0.32,72,45
540,6,3,0,0.215,42,120
541,4,4,2,3.0,255,500
542,3,3,2,2.0,133,180
543,7,4,0,0.9,105,200
544,5,5,0,4.5,240,300
545,2,2,1,3.05,109,205
546,3,2,1,3.0,169,270
549,4,3,2,4.75,298,300
550,4,5,2,2.1,96,266
551,4,1,0,0.8,50,85
552,3,2,0,1.8,130,110
554,3,2,2,2.6,233,120
557,4,3,0,1.1,84,200
558,3,2,0,0.75,65,195
560,5,5,0,3.0,122,220
561,3,3,1,3.0,127,250
563,6,4,2,9.0,528,350
565,3,1,0,0.55,75,75
566,4,4,0,4.5,170,400
567,3,1,0,1.5,118,160
569,3,2,1,1.65,75,140
570,3,1,0,1.4,65,65
571,5,3,1,1.9,106,204
572,5,2,1,4.3,538,520
573,3,2,0,0.685,100,90
575,3,2,0,2.35,160,280
576,3,2,2,2.7,249,300
577,6,5,1,2.2,142,284
578,3,1,0,1.25,150,130
579,5,2,2,1.9,102,240
581,3,2,1,1.95,142,120
582,6,5,0,0.75,154,90
583,3,1,1,2.2,144,120
