,JKT,JKM,GRS,HARGA,LT,LB
2466,5,4,2,11.0,300,550
2467,2,2,0,0.5,60,50
2470,4,3,2,4.25,160,240
2471,3,2,3,5.0,240,180
2473,3,3,1,3.25,180,146
2474,3,3,1,3.8,180,180
2475,4,3,2,1.9,157,145
2476,4,3,1,2.65,125,155
2477,5,4,0,4.15,157,250
2478,3,2,0,1.55,72,70
2479,3,3,0,1.75,80,101
2480,3,3,0,2.25,117,116
2484,4,3,2,3.45,148,203
2485,4,3,0,1.55,200,130
2486,3,2,0,1.5,72,40
2487,4,3,0,11.7,275,314
2488,3,3,1,3.2,200,240
2489,5,3,0,2.7,320,205
2490,4,3,1,3.99,270,290
2491,5,6,2,5.5,400,236
2492,4,3,1,4.4,270,290
2493,5,3,2,7.77,400,500
2495,4,3,0,3.65,148,207
2496,3,2,1,1.3,70,80
2497,4,2,1,0.9,182,170
2500,4,3,1,4.5,200,300
2502,5,3,0,2.7,320,200
2504,5,3,3,5.6,325,300
2505,3,3,3,4.6,258,220
2506,3,2,1,4.0,240,300
2507,3,2,0,1.65,178,150
2508,5,3,0,7.0,312,350
2509,4,4,0,4.75,350,350
2510,3,3,3,9.75,244,300
2511,5,4,0,3.75,145,300
2512,6,4,2,2.0,200,210
2513,5,2,1,3.6,147,370
2514,4,3,2,3.35,200,-250
2515,4,4,2,12.5,400,550
2516,4,4,0,3.9,146,252
2517,4,5,4,6.9,286,525
2518,3,2,1,4.55,252,162
2519,3,2,1,3.8,250,250
2523,4,2,2,2.0,214,160
2528,4,3,1,11.7,275,314
2529,3,2,1,1.2,55,83
2530,4,3,0,11.0,275,314
2532,3,3,3,5.35,411,276
2533,5,3,1,2.3,270,171
2534,4,3,2,4.5,200,300
2535,4,3,2,3.8,220,280
2536,4,3,2,4.5,160,240
2537,4,3,1,4.9,180,365
2538,2,2,1,0.87,86,116
2539,2,1,1,0.59,72,45
2540,5,3,0,2.9,210,267
2541,3,3,2,1.75,80,101
2543,3,2,1,1.5,70,102
2550,4,3,1,3.45,148,207
2551,3,3,1,5.5,200,250
2553,4,3,1,4.25,200,300
2554,4,3,2,2.75,280,222
2555,3,4,4,6.7,315,410
2556,4,4,2,3.6,145,175
2557,4,4,4,6.7,315,410
2559,3,2,1,2.75,180,120
2560,3,2,1,3.0,250,250
2562,4,3,2,6.5,400,550
2563,5,4,1,3.0,280,400
2564,2,1,2,0.8,94,48
2566,4,3,2,2.7,320,150
2567,1,2,0,4.5,225,485
2568,4,3,1,3.65,200,300
2569,4,4,0,3.5,153,204
2570,5,5,2,5.75,350,300
2571,5,4,0,3.25,200,250
2572,4,3,1,2.5,123,200
2574,2,1,2,1.75,120,110
2575,4,3,2,5.25,347,344
2576,3,2,2,5.15,312,210
2577,4,6,2,4.99,200,450
2578,3,2,1,0.975,120,80
2579,5,3,0,3.2,147,350
2581,4,3,0,2.9,113,150
2582,3,1,0,0.8,98,80
2583,3,3,2,4.5,195,156
2584,3,3,0,2.95,174,280
2587,4,3,2,3.0,190,220
2588,3,3,1,2.55,100,155
2741,4,4,2,17.0,477,550
2742,4,3,2,3.8,148,203
2743,4,3,1,2.55,152,230
2744,5,3,0,1.6,168,300
2745,4,3,1,4.69,200,275
2749,4,2,2,4.45,282,278
2752,5,4,1,6.5,312,350
2753,5,3,0,5.6,325,300
2754,4,4,2,5.25,200,300
2755,5,3,2,4.9,316,450
2756,3,2,1,1.5,72,100
2758,3,3,0,4.5,179,200
2761,4,3,2,4.25,180,265
2762,5,2,2,2.6,127,300
2763,2,1,1,1.85,102,100
2764,4,3,2,3.35,200,250
2765,3,2,1,1.45,72,140
2766,4,3,1,3.42,225,230
2767,4,3,2,3.1,200,200
2768,4,3,2,2.65,125,155
2769,5,5,1,1.6,165,97
2770,5,4,2,2.97,145,350
2771,4,3,1,3.75,200,150
2772,4,3,0,12.5,275,325
2773,4,3,1,3.6,208,160
2775,3,3,2,3.15,141,246
2777,3,2,1,2.45,80,95
2778,4,2,0,0.935,139,130
2779,3,1,2,2.75,145,150
2780,3,3,1,2.4,107,180
2781,4,1,1,3.45,144,275
2782,4,6,0,3.35,332,250
2783,4,3,0,3.65,200,130
2784,6,4,3,4.99,200,375
2791,4,2,0,3.9,271,248
2794,3,2,1,1.7,117,100
2795,4,2,1,2.3,162,72
2796,4,3,4,7.3,400,400
2797,4,3,2,5.5,226,300
2798,5,5,2,5.25,278,400
2799,1,1,2,1.3,69,98
2800,4,3,2,2.95,150,170
2801,4,4,0,2.15,125,140
2802,4,5,0,6.3,286,525
2804,4,4,3,6.3,286,525
2805,3,2,0,0.75,64,124
2806,3,3,2,4.5,200,181
2807,3,2,2,2.8,180,120
2810,4,4,1,3.9,160,230
2815,4,3,0,5.2,200,400
2816,5,4,2,3.2,330,250
2817,6,4,0,7.0,312,350
2818,3,2,0,1.5,72,140
2829,4,3,0,2.85,150,185
2830,7,5,1,1.97,200,210
2831,4,3,0,2.95,150,275
2832,6,4,0,4.75,316,500
2833,4,4,2,5.25,276,400
2835,4,4,1,11.0,275,325
2836,4,4,4,8.0,287,525
2837,4,2,2,4.35,198,195
2838,2,2,1,0.8,84,116
2839,2,1,1,1.9,144,120
2840,3,3,1,1.55,141,125
2841,3,3,3,9.7,244,300
2842,4,3,2,1.4,141,125
2843,4,4,1,3.0,312,375
2844,3,2,1,2.65,123,200
2845,3,2,1,1.85,100,102
2846,6,3,1,3.75,185,275
2847,4,3,1,1.85,102,100
2848,2,2,2,1.7,165,110
2849,5,2,2,1.7,165,110
2852,3,2,4,2.7,326,240
2854,4,3,2,3.95,171,275
2855,5,4,2,1.65,206,200
2856,2,1,1,0.385,69,40
2857,4,2,1,1.29,112,140
2858,3,3,0,2.2,113,180
2859,5,4,0,4.0,230,160
2860,4,3,2,2.65,166,260
2861,2,1,1,0.65,97,60
2862,4,3,2,2.4,120,200
2863,3,3,2,2.3,120,200
2864,3,3,2,2.2,120,200
2865,6,4,1,3.3,204,350
2866,3,3,2,1.65,105,112
2867,2,1,1,0.825,140,94
2868,6,6,2,6.0,265,330
2869,2,1,1,0.6,72,36
2870,2,1,2,0.69,72,45
2872,3,2,1,2.4,126,127
2873,2,1,2,0.6,80,130
2875,5,4,3,4.85,220,500
2876,7,4,4,15.0,433,500
2877,2,2,1,0.587,83,45
2878,3,3,2,2.75,180,134
2880,6,3,1,1.8,350,245
2881,4,4,2,1.5,95,90
2882,3,2,1,1.7,89,171
2883,4,3,2,1.2,108,150
2885,3,2,2,8.0,617,200
2886,2,2,1,1.6,58,66
2887,3,2,1,0.999,145,100
2888,3,3,2,1.5,90,100
2889,4,2,2,1.65,105,160
2890,5,3,1,1.75,162,175
2891,5,3,2,1.2,108,150
2892,3,3,0,2.4,127,126
2894,4,3,1,3.2,244,320
2895,3,2,1,1.1,120,70
2896,4,4,2,3.35,303,287
2897,2,1,0,1.4,66,36
2898,4,3,1,1.5,200,150
2899,3,3,4,6.75,346,230
2900,6,3,3,4.0,200,350
2902,2,1,1,0.76,100,80
2903,4,3,2,2.45,100,170
2904,6,4,1,3.0,204,350
2905,2,2,1,0.95,112,58
2906,4,2,1,3.5,294,300
2907,3,3,2,2.0,119,150
2908,5,6,2,2.75,286,450
2909,3,2,1,0.975,133,120
2911,2,2,1,0.845,60,70
2912,4,3,3,1.58,144,200
2913,3,2,1,0.875,60,70
2914,3,2,2,0.788,88,55
2915,5,5,5,4.6,513,350
2916,5,5,2,3.5,208,300
2917,3,2,1,1.6,80,100
2918,3,3,0,4.5,377,200
2919,4,3,0,1.18,188,135
2921,4,3,2,2.9,244,320
2922,3,2,2,1.65,80,100
2923,5,4,2,2.45,110,140
2924,3,3,2,3.1,200,200
2925,2,1,1,0.5,84,45
2926,4,3,2,1.65,105,112
2927,3,3,2,2.2,184,200
2928,4,3,3,5.0,198,202
2929,4,3,2,5.3,176,159
2930,3,2,1,0.725,110,130
2931,4,3,1,3.0,200,350
2932,3,2,1,1.35,91,83
2933,8,4,1,5.5,327,500
2935,1,1,0,1.2,144,166
2936,3,3,2,2.45,120,180
2937,3,2,1,2.1,118,145
2938,2,2,1,0.59,60,54
2939,3,2,1,0.88,60,70
2941,3,3,1,1.85,90,135
2944,6,6,1,2.55,168,182
2945,2,1,1,1.4,66,36
2947,3,2,1,1.3,162,70
2948,3,2,0,0.87,94,94
2950,4,3,1,1.89,90,138
2951,3,2,1,1.65,80,100
2952,4,4,4,3.3,400,147
2955,4,2,2,1.5,165,150
2956,3,3,0,2.1,102,160
2957,6,3,2,1.45,120,150
2958,3,2,1,2.2,220,150
2959,4,3,1,1.75,214,220
2960,3,3,2,1.55,135,122
2961,5,2,1,2.8,198,376
2962,2,1,1,0.95,120,77
2963,3,3,0,1.5,150,140
2964,4,3,2,4.5,390,320
2965,3,2,1,2.15,118,145
2966,4,4,1,1.5,95,110
2967,4,3,3,1.6,143,220
2968,3,3,2,1.9,119,150
2969,2,1,1,0.525,72,50
2970,4,2,2,1.75,105,160
2971,6,3,1,2.5,221,200
2972,4,3,2,2.85,132,180
2973,5,2,1,2.3,215,175
2975,3,2,1,0.84,155,140
2976,6,3,2,3.8,365,400
2977,2,2,0,0.85,102,65
2978,4,2,3,2.95,280,200
2979,3,3,1,3.3,170,122
2980,3,2,1,1.95,221,125
2981,5,3,1,1.55,350,200
2983,4,3,2,1.79,200,300
2984,4,3,3,2.2,158,220
2985,2,1,1,1.01,70,70
2986,4,5,2,4.0,300,350
2987,3,3,2,1.79,81,120
2988,3,3,0,1.69,81,120
2989,5,3,0,2.85,132,180
2990,2,2,1,1.1,60,90
2991,4,3,0,5.5,280,230
2992,3,2,2,1.65,105,160
2994,3,2,1,1.5,102,195
2995,4,3,2,3.2,130,185
2996,2,2,0,1.57,96,78
2997,3,2,0,1.5,101,130
2998,5,5,2,7.2,288,488
3000,3,2,2,1.42,105,117
3001,6,3,0,2.2,198,180
3002,6,4,3,3.6,150,250
3003,2,2,1,0.75,96,95
3005,3,2,1,0.935,84,115
3006,4,4,1,3.65,200,284
3007,5,3,2,1.2,140,180
3008,3,1,1,0.984,104,79
3009,4,4,0,2.7,180,134
3010,3,2,1,1.04,116,108
3011,6,3,1,3.0,118,300
3012,3,2,1,1.1,136,100
3013,3,2,0,1.25,112,70
3015,4,3,3,5.0,200,300
3016,4,2,1,0.6,60,150
3018,5,3,2,7.0,450,288
3019,2,1,1,0.219,50,40
3020,2,1,1,0.65,65,36
3021,2,1,0,1.25,105,85
3024,3,3,2,1.48,90,115
3025,3,3,2,1.95,94,140
3026,3,2,1,2.37,221,150
3027,5,4,0,2.75,286,450
3028,6,4,3,2.75,286,450
3029,3,2,1,1.3,136,100
3030,3,2,2,2.79,114,142
3031,3,3,0,1.95,94,140
3032,2,2,1,1.1,100,65
3034,4,2,1,5.57,328,176
3035,3,1,1,5.57,328,176
3036,4,6,4,6.5,365,550
3037,4,3,0,2.5,210,150
3039,3,3,1,0.95,78,85
3040,3,3,2,3.0,268,254
3041,4,2,0,1.35,90,150
3042,3,2,1,3.5,211,106
3043,2,2,1,2.4,102,94
3044,1,1,1,3.2,156,250
3046,3,2,1,1.55,126,120
3047,4,4,0,1.2,147,100
3050,4,3,2,2.2,408,250
3053,3,2,0,1.0,108,108
3054,3,1,1,1.6,170,90
3055,6,4,5,3.05,333,300
3056,5,3,1,1.65,183,300
3057,3,3,1,2.0,160,120
3060,3,3,0,4.0,198,264
3061,3,2,0,1.3,100,130
3063,4,4,2,2.3,120,200
3065,3,2,1,1.1,98,130
3067,5,4,2,3.69,160,236
3068,4,2,2,1.94,119,120
3069,5,2,2,3.3,267,125
3070,2,2,2,2.1,312,170
3071,5,5,1,3.9,507,500
3072,3,3,1,1.2,142,130
3074,5,2,4,4.4,300,290
3075,4,2,1,1.97,184,100
3076,3,3,1,1.8,85,120
3077,3,2,1,0.8,100,94
3078,5,2,1,9.5,524,430
3079,3,2,2,1.6,151,100
3080,4,2,1,1.75,162,175
3081,2,1,0,0.75,88,92
3082,4,4,1,1.1,147,120
3083,3,2,1,1.0,108,95
3084,2,1,1,0.55,72,72
3085,2,1,1,1.75,84,60
3086,2,1,1,1.25,105,85
3090,3,2,1,0.35,55,56
3094,3,2,1,2.7,235,200
3096,4,4,1,2.3,117,168
3097,6,4,1,2.8,182,400
3098,3,2,0,1.4,101,130
3099,6,4,0,2.75,286,450
3101,4,3,1,1.6,143,220
3102,5,5,0,2.8,127,160
3103,5,2,0,1.9,90,110
3105,2,1,0,1.9,84,60
3106,3,3,0,1.5,120,180
3107,2,1,1,0.775,83,50
3108,5,1,1,3.36,160,230
3109,4,3,1,1.8,85,72
3110,2,1,1,1.3,114,60
3111,6,4,4,4.0,560,300
3112,3,3,2,2.0,153,140
3113,4,4,2,1.8,85,120
3115,8,3,1,5.8,327,450
3116,3,3,4,6.75,347,230
3118,2,1,0,0.3,55,40
3119,3,3,1,1.1,100,180
3120,4,2,4,5.5,308,350
3121,3,4,0,1.8,188,150
3122,4,2,2,4.2,218,235
3123,3,3,1,2.4,144,220
3124,8,6,1,2.7,563,400
3125,4,3,2,4.2,324,181
3129,3,2,2,0.92,131,100
3131,6,3,2,3.45,223,168
3133,4,2,2,4.5,397,297
3135,2,2,0,0.999,120,90
3136,3,3,1,2.0,175,150
3137,6,6,1,2.5,200,230
3138,2,3,1,1.79,90,94
3139,3,2,2,1.97,184,175
3140,3,3,1,2.7,234,200
3141,2,1,1,0.18,45,30
3142,5,3,1,1.2,200,110
3143,4,2,1,1.0,140,125
3144,4,3,1,1.0,128,98
3145,3,4,1,1.95,100,170
3146,3,2,1,0.9,74,129
3148,4,3,1,2.7,155,210
3149,2,2,0,0.9,125,100
3151,2,2,3,0.999,117,117
3154,3,3,1,2.66,300,225
3155,3,3,1,2.3,184,175
3157,2,1,1,1.15,126,70
3158,4,4,2,1.5,95,110
3159,3,2,0,1.7,228,200
3160,5,4,3,3.79,141,250
3161,2,1,0,0.5,110,77
3163,2,2,2,0.597,50,64
3164,1,1,1,0.235,60,36
3165,3,2,1,1.1,98,110
3166,4,4,1,1.0,147,100
3167,7,4,0,2.4,135,250
3168,3,4,1,2.0,90,270
3169,3,2,1,2.1,160,160
3170,3,2,1,0.75,88,75
3172,3,2,1,0.7,88,75
3173,4,3,1,2.5,289,180
3174,4,3,1,3.25,244,320
3175,3,2,2,2.3,126,110
3176,3,3,1,2.9,235,200
3177,3,2,1,0.98,102,66
3178,3,2,3,1.45,103,120
3179,3,3,2,2.6,110,145
3180,5,2,2,2.29,135,200
3182,3,3,1,1.2,110,300
3184,2,1,0,0.43,105,36
3186,3,2,2,1.37,103,120
3190,4,3,0,2.0,159,250
3191,8,4,2,3.5,204,350
3192,5,2,1,1.9,295,200
3193,4,2,2,2.9,182,200
3196,3,2,0,1.25,88,160
3197,3,2,0,1.5,137,105
3198,2,1,0,0.695,100,50
3199,3,2,1,1.1,83,75
3200,5,3,0,9.5,375,230
3201,8,4,3,3.5,204,350
3202,4,2,1,3.2,182,200
3203,3,1,0,0.65,74,60
3204,4,3,2,1.85,108,120
3205,2,2,1,0.865,108,65
3206,2,2,1,0.55,62,50
3207,6,3,2,1.85,243,150
3210,4,2,2,1.25,340,200
3211,3,2,2,1.9,121,100
3212,3,2,1,1.1,98,55
3213,3,2,2,1.5,100,125
3214,8,4,3,7.5,535,347
3215,3,3,1,1.2,102,100
3216,3,1,1,0.65,90,55
3217,6,4,2,1.9,300,350
3218,2,2,0,0.466,64,36
3219,3,3,1,1.2,110,200
3220,4,3,0,1.2,83,100
3221,1,2,1,3.5,147,195
3223,3,5,1,1.1,312,200
3224,5,3,0,2.65,158,220
3225,7,4,3,3.5,204,360
3226,3,2,1,2.99,284,150
3227,3,2,1,1.05,73,100
3228,6,4,4,3.2,312,230
3229,4,3,1,1.95,150,280
3230,3,2,1,0.895,94,80
3231,4,3,1,3.2,191,170
3232,6,2,2,2.7,350,210
3233,2,1,1,0.65,88,46
3236,2,2,1,0.625,70,50
3240,4,3,1,2.5,167,160
3241,3,2,1,1.2,66,95
3242,3,2,3,1.44,103,120
3243,2,1,1,0.625,65,36
3246,4,3,1,0.8,163,210
3247,2,2,0,2.0,100,167
3248,4,2,0,1.7,130,150
3249,4,2,1,1.2,126,100
3250,4,2,0,2.2,139,119
3251,4,3,0,2.6,168,167
3252,4,2,1,2.2,89,180
3253,7,4,3,3.5,202,350
3254,3,3,0,1.2,110,200
3255,3,1,0,0.54,84,55
3256,2,1,1,0.675,90,70
3257,3,3,1,1.1,142,300
3261,6,4,1,2.9,320,420
3262,5,3,2,2.5,184,203
3263,4,2,0,0.49,174,348
3264,3,2,2,1.28,100,70
3265,5,3,2,9.0,364,500
3267,4,4,2,6.0,350,400
3268,7,7,4,12.5,405,250
3269,4,2,2,2.3,109,250
3270,7,4,4,6.85,350,300
3271,3,2,1,4.5,310,265
3272,2,1,0,0.65,60,45
3273,3,2,1,2.6,161,165
3274,3,2,1,1.37,103,120
3276,4,2,2,2.6,170,160
3277,5,2,1,0.775,85,126
3278,2,2,1,0.466,64,36
3280,2,1,1,0.685,85,40
3281,2,1,0,0.69,136,45
3282,4,3,0,2.8,209,134
3283,3,3,1,1.25,93,110
3284,4,3,13,1.1,136,200
3286,6,4,2,1.6,242,175
3287,2,1,1,0.69,136,45
3288,3,2,1,1.2,105,45
3289,4,1,1,0.65,70,140
3290,4,2,0,0.8,120,200
3291,2,2,1,0.75,102,80
3292,2,2,1,1.51,211,154
3293,4,2,2,7.0,459,303
3294,3,2,0,0.552,105,55
3296,4,3,1,3.5,392,200
3297,4,2,1,2.0,90,120
3298,3,3,1,1.4,140,220
3299,4,2,2,10.0,367,250
3301,6,4,3,9.5,367,500
3302,6,3,0,10.0,375,230
3303,2,2,1,0.751,74,61
3304,3,2,0,2.6,132,180
3305,2,2,2,1.3,84,110
3307,3,2,2,1.8,100,150
3310,4,3,1,2.6,167,160
3311,5,4,0,1.35,170,300
3313,4,3,1,2.0,150,260
3314,7,4,1,4.5,310,265
3315,7,2,0,3.75,152,300
3316,2,2,3,1.45,103,120
3318,4,3,1,2.8,209,134
3319,5,2,2,2.3,135,200
3321,5,2,2,3.75,196,70
3322,5,2,1,0.48,300,180
3324,3,2,2,1.95,157,300
3325,4,4,2,2.25,192,207
3326,3,2,1,1.25,102,75
3327,3,2,0,1.3,120,120
3329,6,3,0,3.5,344,450
3330,2,1,1,0.775,98,50
3331,2,1,1,0.53,97,55
3332,4,3,1,0.7,200,280
3333,2,2,2,0.49,94,50
3334,2,1,1,0.435,60,40
3335,2,1,1,0.225,53,30
3336,2,1,1,0.44,100,36
3337,6,3,2,1.5,133,260
3339,2,1,1,0.325,60,50
3341,2,1,3,0.59,184,50
3342,2,1,1,0.525,68,42
3343,2,1,2,0.799,235,100
3346,2,1,1,0.525,69,42
3347,5,4,0,1.2,74,102
3348,8,4,1,0.8,98,196
3350,2,2,1,0.532,48,41
3351,3,2,2,0.8,107,100
3352,2,1,1,0.285,70,36
3356,2,1,1,0.587,85,36
3358,2,1,1,1.6,408,400
3359,1,1,0,0.185,61,21
3361,2,1,1,0.365,78,45
3362,2,1,1,0.31,60,50
3364,2,1,1,0.439,60,40
3367,5,4,0,1.9,350,320
3368,2,1,1,0.7,130,70
3370,2,1,1,0.38,54,60
3371,2,2,0,1.4,610,100
3373,1,1,1,0.184,60,22
3374,2,1,1,0.3,67,31
3376,3,2,0,0.34,60,60
3377,2,2,1,0.69,102,135
3378,2,1,0,0.439,60,40
3379,3,2,1,0.875,83,120
3380,3,2,2,0.35,100,50
3383,2,1,1,0.274,72,50
3385,2,1,2,0.6,102,60
3386,2,1,1,0.38,72,40
3387,1,1,1,0.68,120,100
3388,2,2,1,0.588,45,60
3389,2,1,1,0.484,68,36
3390,2,1,1,0.299,60,45
3391,2,1,1,0.365,66,36
3392,2,1,1,0.425,70,40
3393,2,1,1,0.273,72,36
3394,1,1,1,0.185,58,21
3395,2,1,1,0.205,50,30
3396,2,1,1,0.18,42,30
3397,2,1,1,0.235,60,36
3399,1,1,1,0.185,60,36
3400,2,1,1,0.2,60,36
3401,3,2,0,0.45,60,100
3402,2,1,0,0.299,60,45
3403,3,1,0,0.399,126,90
3404,2,1,0,0.46,60,45
3406,2,2,0,0.65,71,52
3407,3,2,0,0.825,71,80
3409,2,1,1,0.525,74,45
3410,3,2,1,0.54,60,120
3411,2,1,1,0.245,60,36
3412,2,1,1,0.215,50,30
3413,2,1,1,0.19,42,30
3414,2,1,1,0.17,42,30
3415,2,1,1,0.17,35,25
3416,1,1,1,0.145,30,21
3418,3,2,1,0.895,288,110
3419,3,1,0,0.5,105,90
3420,2,1,1,0.595,125,45
3421,2,1,1,0.495,40,60
3422,8,3,0,2.5,223,360
3423,4,4,1,0.55,70,140
3424,1,1,1,0.325,62,21
3427,2,1,1,0.6,72,40
3428,2,1,1,0.3,72,36
3429,5,3,4,1.35,157,200
3431,2,1,1,0.52,36,66
3432,2,1,1,0.65,72,42
3433,3,1,1,0.525,60,42
3434,2,1,1,0.4,66,45
3435,2,1,0,0.615,56,66
3436,2,1,0,0.625,95,60
3437,2,1,0,0.38,60,36
3438,2,2,0,0.575,58,50
3439,2,1,0,0.495,69,40
3440,2,2,1,0.588,60,45
3441,3,2,0,0.525,60,120
3443,5,4,2,7.0,533,300
3444,3,1,1,0.539,99,70
3446,4,2,1,0.9,144,165
3448,4,2,0,0.79,82,105
3450,3,2,1,0.66,72,73
3451,3,2,1,0.895,102,65
3452,3,2,1,0.935,95,67
3453,3,2,1,0.672,62,68
3454,3,2,1,0.757,78,68
3455,3,2,1,0.55,88,50
3456,2,1,1,0.42,61,36
3457,7,3,4,1.35,350,250
3458,3,2,1,0.385,83,50
3459,2,1,1,0.465,62,45
3460,4,3,0,1.2,118,168
3462,3,1,1,0.68,100,85
3463,3,2,1,0.49,94,50
3465,2,1,1,0.495,78,45
3467,2,1,1,0.38,62,36
3468,2,1,1,0.45,72,50
3469,7,2,0,1.4,350,220
3509,3,2,1,0.898,100,90
3527,3,1,1,0.604,57,50
3529,2,1,1,0.6,110,100
3530,2,1,1,0.375,60,50
3532,2,1,1,0.4,60,36
3534,2,1,1,0.349,87,60
3536,2,1,1,0.21,60,36
3537,3,2,1,0.6,60,110
3538,2,1,1,0.335,64,38
3539,2,1,1,0.525,60,36
3541,2,1,1,0.576,77,40
3543,2,1,1,0.5,91,48
3544,3,2,1,0.38,76,120
3545,2,1,2,0.644,68,50
3546,3,2,2,0.7,165,90
3547,3,2,1,0.825,79,68
3549,3,2,0,0.9,200,250
3550,3,2,0,0.495,84,93
3552,3,1,1,0.4,80,60
3553,2,1,1,0.33,110,36
3554,3,3,1,1.0,115,175
3555,4,3,2,1.1,202,180
3556,2,1,0,0.38,74,48
3557,3,2,1,0.693,66,60
3559,1,1,1,0.275,42,21
3560,2,1,1,0.532,48,41
3564,2,1,0,0.325,60,50
3565,2,1,2,0.375,100,50
3566,2,1,2,0.795,235,100
3567,2,1,0,0.499,90,54
3569,2,1,1,0.45,72,36
3570,2,1,0,0.7,130,70
3571,2,1,1,0.45,117,45
3573,2,1,0,0.5,60,50
3574,2,1,1,0.39,72,40
3575,4,3,0,0.97,200,280
3578,2,1,1,0.52,74,50
3579,2,1,1,0.166,60,30
3580,2,1,1,0.45,70,42
3581,8,3,0,7.0,281,500
3582,3,1,0,0.33,80,80
3583,3,1,1,0.4,108,70
3584,2,1,0,0.525,74,50
3585,3,2,0,0.45,73,100
3586,1,1,1,0.185,60,21
3587,3,2,1,0.65,100,70
3588,2,1,1,0.525,100,50
3591,2,2,1,0.55,82,75
3592,8,3,2,7.0,281,500
3593,3,2,1,0.69,93,90
3594,2,1,1,0.38,62,40
3596,2,1,0,0.365,66,36
3597,3,2,0,0.65,100,100
3598,2,1,1,3.0,186,170
3599,2,1,1,0.369,72,46
3600,4,3,1,1.5,200,300
3601,2,1,1,0.499,80,60
3602,4,2,1,0.5,78,104
3603,3,2,2,0.9,143,125
3604,2,2,1,0.297,60,72
3605,2,1,1,0.425,90,78
3606,2,1,0,0.85,152,40
3607,2,1,1,0.45,91,36
3608,2,1,1,0.4,72,38
3610,2,1,1,0.4,65,38
3613,7,6,0,2.0,110,160
3616,2,1,0,0.65,102,60
3617,3,2,2,1.4,106,150
3618,2,1,1,0.33,60,30
3619,2,1,1,0.3,60,30
3623,8,4,0,3.5,373,182
3624,2,1,1,0.55,96,58
3626,1,1,1,0.265,60,38
3627,2,1,1,0.65,140,140
3628,3,2,1,1.55,157,120
3629,2,1,1,0.38,81,38
3631,2,2,2,0.49,90,50
3632,2,2,0,0.835,108,67
3633,4,3,2,4.6,216,261
3634,2,1,1,0.4,62,38
3635,2,1,1,0.39,62,38
3636,4,3,1,0.9,206,200
3637,2,1,1,0.295,90,40
3638,2,1,1,0.4,91,61
3639,2,1,1,0.499,81,45
3640,2,1,1,0.4,92,61
3641,3,2,1,0.575,87,50
3642,2,1,1,0.3,60,40
3643,2,1,1,0.525,65,36
3644,3,2,1,0.48,60,100
3645,2,1,1,0.27,70,36
3646,2,1,0,0.58,82,50
3647,3,1,1,0.55,70,100
3648,2,2,0,0.85,114,90
3650,5,1,1,0.74,80,120
3651,2,2,1,1.1,106,120
3653,3,2,1,0.485,60,160
3654,2,1,1,0.199,60,45
3656,2,1,1,0.35,89,50
3657,2,1,1,0.532,48,48
3658,2,1,0,1.2,60,120
3660,2,1,0,0.575,72,88
3663,2,1,2,0.28,60,45
3665,3,2,0,0.757,78,68
3666,3,2,0,0.662,58,68
3667,3,2,0,0.738,71,68
3668,3,2,0,0.735,73,69
3672,2,1,1,0.432,50,41
3673,2,1,1,0.52,63,45
3674,2,1,1,0.587,85,37
3678,5,5,0,1.8,168,350
3680,2,1,0,0.7,87,45
3681,3,2,1,0.485,61,45
3685,2,1,1,0.445,64,45
3686,2,1,1,0.35,60,40
3687,3,2,2,0.375,100,70
3688,3,2,2,0.499,100,70
3690,2,1,1,1.5,168,42
3691,3,2,1,1.65,102,130
3692,2,4,4,5.95,300,200
3695,2,2,0,1.9,59,56
3696,3,3,1,2.7,187,187
3698,2,2,1,1.45,83,70
3699,5,4,1,2.85,116,300
3700,2,2,1,1.1,100,70
3701,3,2,8,9.8,396,400
3702,4,3,2,8.0,375,550
3703,2,1,1,0.95,84,55
3705,3,1,0,1.35,88,86
3706,2,2,0,2.8,168,150
3708,3,3,0,2.5,152,152
3709,5,3,2,2.9,136,200
3711,5,3,3,2.5,230,350
3712,4,4,0,3.75,321,250
3713,4,3,1,3.2,98,150
3714,3,2,1,2.9,250,200
3715,3,2,1,1.2,63,180
3716,3,7,4,4.5,192,320
3718,8,3,0,2.5,197,170
3719,3,2,1,3.8,207,130
3720,5,2,5,4.5,380,314
3721,6,3,0,6.5,574,353
3722,1,1,0,0.44,45,40
3723,2,2,1,0.975,113,95
3724,4,2,0,1.6,140,140
3725,4,3,2,4.8,269,140
3726,4,5,2,3.0,109,235
3727,3,2,0,1.5,165,120
3728,4,2,1,4.5,200,200
3729,3,2,2,2.2,130,150
3730,3,2,1,3.1,144,300
3731,3,4,1,1.5,120,200
3734,4,2,0,4.25,418,260
3735,4,2,1,4.25,418,260
3736,3,2,0,4.5,139,110
3737,4,3,2,7.5,521,500
3738,4,3,1,3.7,277,324
3739,5,3,2,2.0,333,214
3744,4,2,1,2.25,160,115
3746,5,3,1,2.5,230,350
3747,3,3,1,4.2,216,200
3750,2,2,1,1.9,59,56
3753,2,1,1,2.2,99,70
3754,4,3,2,4.0,255,250
3755,3,2,1,1.5,70,116
3756,2,1,0,0.695,80,90
3757,4,2,2,4.0,400,400
3759,4,2,2,4.0,400,275
3761,4,3,5,6.9,402,520
3762,4,3,2,3.25,104,150
3763,3,3,2,3.0,102,140
3764,2,2,0,1.69,145,70
3766,3,3,0,2.65,153,153
