Unnamed: 0,JKT,JKM,GRS,LT,LB,Category
595,6,3,1,449,150,Mahal
596,4,4,0,108,330,Sedang
597,3,2,0,110,220,Sedang
599,4,4,1,86,130,Sedang
601,2,2,0,105,130,Murah
602,3,3,1,250,225,Mahal
604,3,3,1,221,250,Sedang
605,4,3,1,320,320,Sedang
611,4,3,0,84,200,Sedang
614,4,2,1,210,160,Sedang
617,4,4,1,162,122,Murah
618,5,2,0,78,156,Murah
620,3,3,2,85,120,Sedang
623,3,2,1,54,200,Sedang
625,1,1,0,130,100,Sedang
626,3,2,0,130,240,Sedang
628,3,3,4,127,250,Mahal
630,4,3,1,85,200,Murah
634,3,2,1,97,140,Sedang
637,3,3,0,133,180,Sedang
638,1,1,0,26,52,Murah
639,3,2,1,54,180,Sedang
641,4,3,1,298,300,Mahal
642,4,3,0,134,200,Sedang
643,2,1,0,118,100,Sedang
644,3,2,0,75,140,Sedang
645,3,2,0,98,90,Murah
646,3,1,0,98,90,Murah
647,2,2,0,94,120,Murah
650,4,2,2,120,150,Sedang
651,2,1,0,121,110,Sedang
654,4,3,1,75,140,Sedang
656,4,3,0,75,140,Sedang
659,7,2,2,197,430,Mahal
661,3,2,1,75,140,Sedang
663,3,3,1,109,250,Mahal
664,3,1,0,157,109,Murah
667,3,2,1,221,250,Sedang
668,2,1,0,35,63,Murah
670,4,3,0,200,350,Mahal
675,2,1,0,60,50,Murah
676,4,3,0,330,150,Mahal
677,3,2,1,144,70,Sedang
680,4,3,0,75,150,Sedang
684,3,2,1,106,180,Sedang
685,2,1,1,60,36,Murah
687,6,3,0,127,173,Sedang
688,3,3,1,65,100,Murah
689,4,2,0,120,150,Sedang
690,4,3,0,84,200,Murah
692,4,3,1,75,140,Sedang
693,4,3,1,298,300,Mahal
695,3,2,0,46,56,Murah
700,3,2,1,75,140,Sedang
702,4,3,1,121,150,Sedang
703,2,1,1,102,51,Sedang
704,3,3,2,122,160,Sedang
705,4,3,1,121,78,Sedang
706,7,7,4,399,300,Mahal
707,4,3,2,109,202,Sedang
708,3,2,0,91,90,Sedang
709,5,2,2,399,300,Mahal
710,4,4,1,330,200,Sedang
711,2,1,1,130,80,Sedang
712,4,2,1,136,100,Sedang
713,4,2,2,120,200,Sedang
714,6,4,1,200,300,Mahal
715,2,2,2,150,120,Sedang
716,2,1,1,104,95,Murah
717,4,3,3,256,237,Mahal
718,3,2,1,168,200,Sedang
719,3,2,0,100,170,Sedang
720,3,3,1,90,88,Sedang
721,3,2,2,115,98,Sedang
722,5,3,3,174,240,Sedang
723,4,3,1,215,140,Mahal
724,3,2,1,116,110,Sedang
725,3,3,1,195,300,Mahal
726,3,2,1,96,155,Sedang
727,4,3,1,260,160,Sedang
728,3,2,2,86,84,Sedang
729,2,1,1,72,50,Murah
731,2,2,1,150,120,Sedang
732,4,4,2,135,225,Sedang
734,3,2,1,104,90,Murah
735,5,4,1,135,200,Sedang
736,2,2,1,112,100,Sedang
737,3,2,1,112,100,Sedang
739,5,4,2,308,150,Sedang
740,4,3,1,230,200,Sedang
741,3,2,1,70,100,Murah
742,3,3,2,90,100,Sedang
743,3,2,1,150,120,Sedang
744,2,1,1,72,55,Murah
745,5,4,1,133,200,Sedang
746,5,2,1,90,150,Sedang
747,4,4,3,305,281,Mahal
748,3,2,2,86,83,Sedang
749,5,3,2,280,320,Sedang
750,3,2,1,93,90,Sedang
751,3,2,2,86,83,Sedang
752,5,3,3,173,240,Sedang
753,6,3,7,400,450,Mahal
755,4,3,2,476,250,Sedang
756,3,1,1,60,65,Murah
757,3,2,1,104,90,Murah
758,3,1,1,72,55,Murah
760,3,2,1,140,150,Sedang
761,4,3,2,126,144,Sedang
762,3,2,1,144,275,Sedang
763,4,3,0,151,120,Sedang
764,5,2,1,120,150,Murah
765,5,3,1,237,160,Sedang
766,4,3,1,230,197,Sedang
767,3,2,1,112,100,Sedang
768,2,1,1,60,55,Murah
770,4,3,1,360,192,Mahal
771,3,3,1,96,144,Sedang
772,4,3,2,140,100,Murah
773,4,2,1,72,180,Sedang
775,4,3,2,476,250,Sedang
776,3,2,1,145,100,Sedang
777,3,2,2,90,100,Murah
785,3,3,2,80,100,Sedang
787,3,3,1,90,88,Sedang
788,3,2,1,128,100,Sedang
789,5,3,2,111,152,Sedang
790,5,2,2,187,100,Sedang
791,2,1,1,96,45,Sedang
792,4,2,0,260,195,Mahal
794,2,2,1,97,68,Murah
796,4,3,1,121,78,Sedang
797,3,2,0,86,84,Sedang
798,5,2,1,140,148,Sedang
799,3,2,0,135,200,Sedang
800,2,1,1,95,45,Murah
801,3,2,1,144,120,Sedang
802,4,2,2,118,150,Sedang
803,4,4,1,160,230,Sedang
804,3,3,1,96,144,Sedang
805,3,1,1,198,60,Sedang
806,4,4,2,120,130,Sedang
808,3,2,3,256,212,Mahal
809,4,4,0,157,152,Mahal
810,3,2,1,112,112,Sedang
811,2,1,0,72,43,Murah
813,3,3,2,90,88,Sedang
815,2,1,1,60,40,Murah
817,3,3,0,96,144,Sedang
818,5,5,2,308,100,Sedang
819,3,1,1,168,120,Sedang
820,5,5,1,394,394,Mahal
821,2,2,2,180,120,Sedang
822,4,3,1,121,120,Sedang
823,4,3,2,156,240,Sedang
824,4,3,3,550,400,Mahal
825,6,3,4,400,450,Sedang
826,1,1,0,170,130,Sedang
827,2,1,0,72,121,Murah
830,3,3,1,90,100,Sedang
832,2,1,1,66,40,Murah
833,5,4,1,239,250,Mahal
834,3,2,1,86,83,Sedang
835,3,3,5,305,281,Mahal
836,3,1,1,96,45,Murah
837,3,3,1,126,160,Sedang
838,4,2,1,115,220,Sedang
839,2,2,1,81,51,Murah
840,4,3,2,476,250,Sedang
841,3,3,2,139,98,Sedang
842,3,1,0,80,75,Murah
843,4,3,1,102,100,Murah
844,3,3,0,139,98,Sedang
845,3,4,0,126,180,Sedang
846,3,3,1,233,200,Sedang
847,4,2,1,96,75,Murah
848,3,1,1,162,111,Sedang
849,4,2,0,151,198,Sedang
850,2,1,0,136,50,Sedang
851,3,2,1,96,114,Sedang
