nama,rating,K. Mandi Dalam,WiFi,Kasur,AC,Kloset Duduk,Akses 24 Jam,harga
Kost Wisma 9999 Tipe B Beji Depok,3,yes,yes,yes,yes,no,yes,1250000
Kost Kencana Tipe B Cimanggis Depok,3,yes,yes,yes,yes,yes,yes,2190000
Kost Wisma Almira Tipe Ekonomis Beji Depok,3,yes,yes,yes,no,no,yes,760000
Kost Casa 36 Tipe B1 Beji Depok,3,yes,yes,yes,no,yes,no,1100000
Kost Casa 36 Tipe B4 Beji Depok,3,yes,yes,yes,no,yes,no,1300000
Kost Ameera Beji Depok,3,no,yes,yes,no,no,no,850000
Kost Rumah Sumaira Tugu Tipe B Cimanggis Depok,3,yes,yes,yes,yes,yes,no,1350000
Kost Rumah Sadara Tipe A Cimanggis Depok,3,yes,yes,yes,no,yes,no,1050000
Kost Rumah Sumaira Tugu Tipe A Cimanggis Depok,4.4,yes,yes,yes,no,yes,no,1050000
Kost Va Tipe A1 Jagakarsa Jakarta Selatan,3,no,yes,yes,no,yes,yes,700000
Kost Omah Amalia Beji Depok,3,yes,yes,yes,yes,yes,no,1400000
Kost Sisesa House Tipe B Beji Depok,3,yes,no,yes,yes,yes,yes,1350000
Kost Ghefa Beji Depok,4.6,yes,yes,yes,no,yes,no,700000
Kost Graha Pandawa Tipe Family 2 Beji Depok,3,yes,no,yes,yes,yes,yes,1500000
Kost Tofu Dharma Beji Depok,3,yes,yes,yes,no,no,no,750000
Kost Bubbles 2 Tipe A Beji Depok,3,no,yes,yes,yes,no,yes,1000000
Kost Sisesa House Tipe C Beji Depok,4.8,yes,no,yes,yes,yes,yes,1400000
Kost Sisesa House Tipe A Beji Depok,4,yes,no,yes,yes,yes,yes,1300000
Kost Puri Pamaan 53 VVIP Cimanggis Depok,3,no,yes,yes,yes,yes,no,1200000
Kost Batavia Mansion Jagakarsa Jakarta Selatan,5,yes,yes,yes,yes,yes,no,1500000
Kost Nugie III Beji Depok,3,yes,yes,yes,yes,yes,yes,1300000
Kost Pondok Nunitta Beji Depok,5,yes,yes,yes,yes,yes,yes,1575000
Kost Nugie II Tipe A Beji Depok,4.2,yes,yes,yes,yes,yes,yes,1300000
Kost Puri Melati Tipe B Beji Depok,3,yes,yes,yes,yes,yes,no,1600000
Kost Mutiara Beji Depok,3,yes,yes,yes,no,yes,no,800000
Kost Puri Melati Tipe A Beji Depok,4.3,yes,yes,yes,no,yes,no,1000000
Kost Eksklusif Mara Juara Tipe Reguler Bedroom Beji Depok,3,yes,yes,yes,yes,yes,yes,1699000
Kost Green Camp38 Tipe A Beji Depok,3,yes,no,yes,no,no,yes,700000
Kost Wisma 9999 Tipe A Beji Depok,3,yes,yes,yes,no,no,yes,750000
Kost Kodja 25 Beji Depok,3,yes,yes,yes,no,yes,no,1400000
Kost Ibu Dewi Lestari Tipe A Beji Depok,3,yes,no,yes,no,yes,yes,1100000
Kost Fatimah Margonda II Beji Depok,3,yes,yes,yes,yes,yes,no,1800000
Kost Eykecia Beji Depok,3,yes,yes,yes,yes,yes,yes,1350000
Kost Kasyfa Tipe Standard Beji Depok,3,yes,yes,yes,no,yes,no,800000
Kost Pondok Rizquna Beji Depok,4.6,yes,yes,yes,yes,no,yes,950000
Kost Puri Alea Cimanggis Depok,3,yes,yes,yes,yes,yes,no,1500000
Kost Permata Sukses 2 Tipe A Beji Depok,3,yes,yes,yes,yes,yes,no,1700000
Kost Rumah 85 Tipe A Beji Depok,3,yes,yes,yes,no,no,no,550000
Kost De Breeze Mansion Beji Depok,1.3,yes,yes,yes,yes,yes,yes,2600000
Kost Rumah Sahira Beji Depok,3,yes,yes,yes,yes,yes,no,1500000
Kost Gradenia Mahasiswi Karyawati Tipe Vip Cimanggis Depok,3,no,no,yes,yes,yes,no,1000000
Kost Umah Bali Beji Depok,3,yes,no,no,no,no,yes,950000
Kost Pondok Husna Beji Depok,3,yes,yes,yes,yes,yes,no,1600000
Kost Delima Ciliwung Beji Depok,3,yes,yes,yes,yes,yes,yes,900000
Kost Homea Beji Depok,3,yes,yes,yes,yes,yes,yes,1300000
Kost Fatimah Margonda I Beji Depok,3,no,no,yes,no,yes,yes,800000
Kost Ciputra Beji Depok,4.9,yes,yes,yes,no,no,no,750000
Kost Nyaman Beji Depok,3,yes,no,yes,no,yes,yes,800000
Kost Wisma Kid Beji Depok,3,no,yes,yes,yes,yes,yes,850000
Kost Eksklusif Mara Juara Tipe Vip Bedroom Beji Depok,3,yes,yes,yes,yes,yes,yes,1999000
Kost Eksklusif Mara Juara Tipe Large Bedroom Beji Depok,3,yes,yes,yes,yes,yes,no,2499000
Kost Giyan Exclusive Tipe Reguler Beji Depok,3,no,no,no,yes,yes,no,1100000
Kost Flower Exclusive Beji Depok,3,yes,no,no,yes,yes,no,1300000
Kost Permata Sukses 2 Tipe B Beji Depok,3,yes,yes,yes,yes,yes,no,1800000
Kost Rumah Permata Sukses Beji Depok,3,yes,yes,yes,yes,yes,no,1800000
Kost Kencana Tipe A Cimanggis Depok,3,yes,yes,yes,yes,yes,yes,2530000
Kost Mawar 29 Tipe A Beji Depok,3,yes,yes,yes,no,no,no,900000
Kost Ibu Dewi Lestari Tipe B Beji Depok,3,yes,yes,yes,yes,yes,yes,1700000
Kost Ibu Dewi Lestari Tipe C Beji Depok,3,yes,no,yes,yes,yes,yes,2250000
Kost Ibu Haji Beji Depok,4.9,no,yes,yes,no,no,yes,500000
Kost Pondok Pelangi 2 Cimanggis Depok,4.9,yes,yes,yes,no,no,no,800000
Kost Pondok Hijau PH Standard Cimanggis Depok,3,yes,no,yes,no,yes,yes,1100000
Kost Pondok Katama Tipe A Beji Depok,3,no,yes,yes,no,no,yes,700000
